"Year","Group","Engineering","Math and Computational Science","Natural Science","Health","Post-Secondary Teachers","Blue Collar","Other Occupation"
"Direct Chinese Immigrant","60654.5374136229","Engineering","2000"
"Direct Chinese Immigrant","51032.36386792451","Health","2000"
"Direct Chinese Immigrant","65705.50351978173","Math and Computational Science","2000"
"Hispanic Descendant","35749.55821782179","Natural Science","2000"
"Hispanic Descendant","31785.434597701154","Post-Secondary Teachers","2000"
"Hispanic Descendant","26589.503465898168","Blue Collar","2000"
"Hispanic Descendant","29108.54173306115","Other Occupation","2000"
"Hispanic Descendant","47960.25956015525","Engineering","2000"
"Hispanic Descendant","42447.576051386066","Health","2000"
"Hispanic Descendant","48604.32646879334","Math and Computational Science","2000"
"Direct Hispanic Immigrant","49889.04484848484","Natural Science","2000"
"Direct Hispanic Immigrant","21879.98294906167","Post-Secondary Teachers","2000"
"Direct Hispanic Immigrant","20548.19254237765","Blue Collar","2000"
"Direct Hispanic Immigrant","21019.211527552514","Other Occupation","2000"
"Direct Hispanic Immigrant","54424.64000000003","Engineering","2000"
"Direct Hispanic Immigrant","57905.23233160621","Health","2000"
"Direct Hispanic Immigrant","48129.53787455621","Math and Computational Science","2000"
"Chinese Descendant","75762.06","Natural Science","2010"
"Chinese Descendant","64045.243278688526","Post-Secondary Teachers","2010"
"Chinese Descendant","26004.0988622344","Blue Collar","2010"
"Chinese Descendant","54042.00928131203","Other Occupation","2010"
"Chinese Descendant","68564.20607661824","Engineering","2010"
"Chinese Descendant","100594.66698245614","Health","2010"
"Chinese Descendant","65785.08397415187","Math and Computational Science","2010"
"Vanilla","55066.26735851731","Natural Science","2010"
"Vanilla","39123.22551892988","Post-Secondary Teachers","2010"
"Vanilla","26402.477608258192","Blue Collar","2010"
"Vanilla","36875.11788378977","Other Occupation","2010"
"Vanilla","64600.69573397625","Engineering","2010"
"Vanilla","59209.1390926358","Health","2010"
"Vanilla","49558.909909327056","Math and Computational Science","2010"
"Direct Chinese Immigrant","51516.516671749065","Natural Science","2010"
"Direct Chinese Immigrant","37629.643069074504","Other Occupation","2010"
"Direct Chinese Immigrant","17838.716235386575","Blue Collar","2010"
"Direct Chinese Immigrant","48013.768411924124","Post-Secondary Teachers","2010"
"Direct Chinese Immigrant","71561.5628690644","Engineering","2010"
"Direct Chinese Immigrant","80889.93508267656","Health","2010"
"Direct Chinese Immigrant","64497.06751542198","Math and Computational Science","2010"
"Hispanic Descendant","34266.43945578231","Natural Science","2010"
"Hispanic Descendant","35576.68789514265","Post-Secondary Teachers","2010"
"Hispanic Descendant","22772.670879979636","Blue Collar","2010"
"Hispanic Descendant","29903.127885102404","Other Occupation","2010"
"Hispanic Descendant","65073.80703878053","Engineering","2010"
"Hispanic Descendant","61232.83488470682","Health","2010"
"Hispanic Descendant","44650.85144035349","Math and Computational Science","2010"
"Direct Hispanic Immigrant","32823.03542573026","Natural Science","2010"
"Direct Hispanic Immigrant","29679.517444206667","Post-Secondary Teachers","2010"
"Direct Hispanic Immigrant","18510.497600000006","Blue Collar","2010"
"Direct Hispanic Immigrant","19298.72255131944","Other Occupation","2010"
"Direct Hispanic Immigrant","46889.771079308295","Engineering","2010"
"Direct Hispanic Immigrant","60678.245125050125","Health","2010"
"Direct Hispanic Immigrant","35502.52120062102","Math and Computational Science","2010"
